vx	vy
      2.44	      0.44
     -0.67	     -1.47
      0.43	      0.26
      1.19	     -0.55
      1.53	     -0.42
      0.74	     -0.46
      0.64	     -0.26
      0.06	      0.37
      0.15	     -0.65
     -0.57	      0.78
     -0.06	      0.48
     -0.70	      1.19
     -0.68	     -1.60
     -0.51	     -0.07
      0.70	     -0.44
      0.09	      0.18
     -0.01	      1.91
     -1.09	     -1.64
     -2.35	     -1.64
     -1.06	     -0.44
     -0.22	      0.24
      0.00	      1.28
     -0.83	     -0.50
     -0.14	      1.31
      0.86	      0.20
