vx	vy
      0.75	      0.65
     -1.34	      0.68
      1.57	     -0.37
      0.24	      1.08
      0.39	     -0.90
      0.29	      1.53
     -1.62	      0.39
      0.91	      1.96
      1.33	     -0.32
     -0.38	      0.51
     -0.28	      1.94
     -0.43	      1.22
     -1.10	      0.11
     -0.42	     -0.31
      0.02	     -1.49
     -0.47	      1.72
      1.18	      0.93
     -0.23	     -0.93
      0.74	      0.17
      0.62	     -0.01
     -0.94	      0.13
     -0.49	      1.18
      0.65	      1.54
      0.35	      0.92
      0.45	      1.09
