vx	vy
     -0.97	      0.28
      0.85	     -0.42
      0.97	      0.33
     -1.95	     -0.67
      0.39	     -0.90
      0.29	     -0.83
      1.23	      1.48
     -0.91	      1.96
     -0.66	      0.78
     -0.38	      0.51
     -0.28	      1.94
      1.57	      0.11
      0.22	     -0.01
     -0.42	     -0.31
      0.02	     -1.49
      0.47	      1.72
     -0.14	      0.20
      0.32	      0.51
      0.74	      0.17
      0.62	     -0.01
      1.08	      0.10
      1.75	     -0.63
      1.83	      1.37
      0.35	      0.92
      0.45	      1.09
