vx	vy
     -0.75	      0.65
      0.49	     -0.79
     -1.33	     -0.47
      0.24	      1.08
      1.43	      0.57
      0.29	      1.53
     -1.62	      0.39
      0.91	      1.96
      1.33	     -0.32
     -0.38	      0.51
     -0.28	      1.94
     -0.32	      1.37
     -0.39	      1.07
     -0.42	     -0.31
      0.02	     -1.49
      1.73	      0.86
     -1.18	      0.93
     -0.23	      0.93
      0.72	      1.18
      0.62	     -0.01
      0.02	      1.89
      0.51	      0.16
     -0.31	     -0.21
      0.24	      0.76
      0.45	      1.09
